Tªn	 Lo¹i prop	 Danh môc cô thÓ	 Danh môc chi tiÕt	 Tªn tÖp ho¹t h×nh	 ChØ sè ®èi t­îng t­¬ng øng	 ChiÒu réng	 ChiÒu cao 	M« t¶ v¨n b¶n 	Ngò hµnh	Gi¸ Shop	CÊp §é	Cã xÕp chång 	Thuéc tÝnh 1	Tèi thiÓu	Tèi ®a	Thuéc tÝnh 2 	Tèi thiÓu	Tèi ®a 	Thuéc tÝnh 3 	Tèi thiÓu 	Tèi ®a 	Thuéc tÝnh 4 	Tèi thiÓu 	Tèi ®a	Thuéc tÝnh 5 	Tèi thiÓu 	Tèi ®a 	6 lo¹i 	6 Tèi thiÓu 	6 Tèi ®a 	7 lo¹i 	7 Tèi thiÓu 	7 Tèi ®a 	Thuéc tÝnh yªu cÇu 1 lo¹i 	Gi¸ trÞ 	Thuéc tÝnh yªu cÇu 2 lo¹i 	Gi¸ trÞ 	Thuéc tÝnh yªu cÇu 3 lo¹i 	Gi¸ TrÞ	Thuéc tÝnh yªu cÇu 4 	Gi¸ trÞ	Thuéc tÝnh yªu cÇu 5 lo¹i 	Gi¸ trÞ 	Thuéc tÝnh yªu cÇu 6 lo¹i 	Gi¸ TrÞ	
Phi phong L¨ng V©n	0	12	0	\spr\item\equip\pifengtubiao\pifeng_01.spr	338	1	1	Phi Phong L¨ng V©n		999	1	0													243	7	7	227	1	1				47	0											
Phi phong TuyÖt ThÕ	0	12	0	\spr\item\equip\pifengtubiao\pifeng_02.spr	338	1	1	Phi Phong TuyÖt ThÕ		999	2	0													243	13	13	227	1	1				47	0											
Phi phong cÊp Ph¸ Qu©n ( DÞch chuyÓn tøc thêi )	0	12	0	\spr\item\equip\pifengtubiao\pifeng_03.spr	338	1	1	Phi Phong Ph¸ Qu©n, kÌm theo kü n¨ng HuyÔn Anh Mª Tung Bé		999	3	0													243	20	20	227	1	1				47	0											2690
Phi phong Ngao tuyÕt ( DÞch chuyÓn tøc thêi )	0	12	0	\spr\item\equip\pifengtubiao\pifeng_04.spr	338	1	1	Phi Phong Ng¹o TuyÕt, kÌm theo kü n¨ng HuyÔn Anh Mª Tung Bé		999	4	0													243	36	36	227	2	2				47	0											2696
Phi phong Ng¹o TuyÕt ( X¸c suÊt hãa gi¶i s¸t th­¬ng )	0	12	0	\spr\item\equip\pifengtubiao\pifeng_04.spr	338	1	1	Phi Phong Ng¹o TuyÕt, kÌm theo kü n¨ng §¹i DiÖp KhÝ Tr¸o		999	4	0													243	36	36	227	2	2				47	0											2688
Phi phong Kinh L«i ( DÞch chuyÓn tøc thêi )	0	12	0	\spr\item\equip\pifengtubiao\pifeng_05.spr	338	1	1	Phi Phong K×nh L«i, kÌm theo kü n¨ng HuyÔn Anh Mª Tung Bé		999	5	0													243	60	60	227	3	3				47	0											2702
Phi phong Kinh L«i ( X¸c suÊt hãa gi¶i s¸t th­¬ng )	0	12	0	\spr\item\equip\pifengtubiao\pifeng_05.spr	338	1	1	Phi Phong K×nh L«i, kÌm theo kü n¨ng §¹i DiÖp KhÝ Tr¸o		999	5	0													243	60	60	227	3	3				47	0											2694
Phi phong Kinh L«i ( Träng kÝch )	0	12	0	\spr\item\equip\pifengtubiao\pifeng_05.spr	338	1	1	Phi Phong K×nh L«i, kÌm theo kü n¨ng Träng KÝch TuyÖt §èi		999	5	0													243	60	60	227	3	3				47	0											2692
Phi phong Ngù Phong ( DÞch chuyÓn tøc thêi )	0	12	0	\spr\item\equip\pifengtubiao\pifeng_06.spr	338	1	1	Phi Phong Ngù Phong, kÌm theo kü n¨ng HuyÔn Anh Mª Tung Bé		999	6	0	233	1680	1680	234	25	25	235	760	760	236	25	25	243	84	84	227	3	3				47	27000											2708
Phi phong Ngù Phong ( X¸c suÊt hãa gi¶i s¸t th­¬ng )	0	12	0	\spr\item\equip\pifengtubiao\pifeng_06.spr	338	1	1	Phi Phong Ngù Phong, kÌm theo kü n¨ng §¹i DiÖp KhÝ Tr¸o		999	6	0	233	1680	1680	234	25	25	235	760	760	236	25	25	243	84	84	227	3	3				47	27000											2700
